DATE,CPI
5/8/2015,105.3
6/8/2015,105.3
7/8/2015,105.3
8/8/2015,105.3
9/8/2015,105.4
10/8/2015,105.4
11/8/2015,105.4
12/8/2015,105.4
13/8/2015,105.4
14/8/2015,105.4
15/8/2015,105.4
16/8/2015,105.4
17/8/2015,105.4
18/8/2015,105.4
19/8/2015,105.4
20/8/2015,105.4
21/8/2015,105.4
22/8/2015,105.4
23/8/2015,105.4
24/8/2015,105.4
25/8/2015,105.4
26/8/2015,105.5
27/8/2015,105.5
28/8/2015,105.5
29/8/2015,105.5
30/8/2015,105.5
31/8/2015,105.5
1/9/2015,105.5
2/9/2015,105.5
3/9/2015,105.5
4/9/2015,105.5
5/9/2015,105.5
6/9/2015,105.5
7/9/2015,105.5
8/9/2015,105.5
9/9/2015,105.5
10/9/2015,105.5
11/9/2015,105.5
12/9/2015,105.5
13/9/2015,105.6
14/9/2015,105.6
15/9/2015,105.6
16/9/2015,105.6
17/9/2015,105.6
18/9/2015,105.6
19/9/2015,105.6
20/9/2015,105.6
21/9/2015,105.6
22/9/2015,105.6
23/9/2015,105.6
24/9/2015,105.6
25/9/2015,105.6
26/9/2015,105.6
27/9/2015,105.6
28/9/2015,105.6
29/9/2015,105.6
30/9/2015,105.7
1/10/2015,105.7
2/10/2015,105.7
3/10/2015,105.7
4/10/2015,105.7
5/10/2015,105.7
6/10/2015,105.7
7/10/2015,105.7
8/10/2015,105.7
9/10/2015,105.7
10/10/2015,105.7
11/10/2015,105.7
12/10/2015,105.7
13/10/2015,105.7
14/10/2015,105.7
15/10/2015,105.7
16/10/2015,105.7
17/10/2015,105.8
18/10/2015,105.8
19/10/2015,105.8
20/10/2015,105.8
21/10/2015,105.8
22/10/2015,105.8
23/10/2015,105.8
24/10/2015,105.8
25/10/2015,105.8
26/10/2015,105.8
27/10/2015,105.8
28/10/2015,105.8
29/10/2015,105.8
30/10/2015,105.8
31/10/2015,105.8
1/11/2015,105.8
2/11/2015,105.8
3/11/2015,105.9
4/11/2015,105.9
5/11/2015,105.9
6/11/2015,105.9
7/11/2015,105.9
8/11/2015,105.9
9/11/2015,105.9
10/11/2015,105.9
11/11/2015,105.9
12/11/2015,105.9
13/11/2015,105.9
14/11/2015,105.9
15/11/2015,105.9
16/11/2015,105.9
17/11/2015,105.9
18/11/2015,105.9
19/11/2015,105.9
20/11/2015,106
21/11/2015,106
22/11/2015,106
23/11/2015,106
24/11/2015,106
25/11/2015,106
26/11/2015,106
27/11/2015,106
28/11/2015,106
29/11/2015,106
30/11/2015,106
1/12/2015,106
2/12/2015,106
3/12/2015,106
4/12/2015,106
5/12/2015,106
6/12/2015,106
7/12/2015,106
8/12/2015,106.1
9/12/2015,106.1
10/12/2015,106.1
11/12/2015,106.1
12/12/2015,106.1
13/12/2015,106.1
14/12/2015,106.1
15/12/2015,106.1
16/12/2015,106.1
17/12/2015,106.1
18/12/2015,106.1
19/12/2015,106.1
20/12/2015,106.1
21/12/2015,106.1
22/12/2015,106.1
23/12/2015,106.1
24/12/2015,106.1
25/12/2015,106.2
26/12/2015,106.2
27/12/2015,106.2
28/12/2015,106.2
29/12/2015,106.2
30/12/2015,106.2
31/12/2015,106.2
1/1/2016,106.2
2/1/2016,106.2
3/1/2016,106.2
4/1/2016,106.2
5/1/2016,106.2
6/1/2016,106.2
